pickup_community_area,avg_miles,avg_tips,total_trips
1.0,7.904999999999999,2.183529411764706,34
2.0,6.115,0.6155263157894737,38
3.0,6.627457627118644,1.6638983050847458,118
4.0,5.868421052631579,3.2842105263157895,19
5.0,5.304,2.7199999999999998,20
6.0,4.207303664921466,1.6020680628272252,382
7.0,3.8088085106382983,1.5265531914893617,235
8.0,3.267022696929239,1.4370827770360481,1498
9.0,7.165,0.0,2
10.0,7.904166666666668,4.2025,12
11.0,3.9949999999999997,1.1666666666666667,6
12.0,11.165,2.5825,4
13.0,0.0,0.0,1
14.0,8.18,2.353076923076923,13
15.0,8.958571428571428,1.75,7
16.0,7.942941176470589,2.322352941176471,17
17.0,10.83,7.640000000000001,2
18.0,23.0,0.0,1
19.0,5.188000000000001,0.0,5
20.0,6.595,0.0,2
21.0,6.395833333333333,1.665,12
22.0,5.483777777777778,1.9322222222222223,45
23.0,5.326,2.894,5
24.0,4.666174496644295,1.994228187919463,149
25.0,11.523,0.0,10
26.0,15.74,0.0,1
27.0,10.32888888888889,0.0,9
28.0,3.4160416666666666,1.2657916666666666,480
29.0,6.080000000000001,0.0,3
30.0,10.986666666666666,0.0,3
31.0,6.075454545454546,0.6506060606060605,33
32.0,3.6999560761347,2.079297218155198,683
33.0,5.521460674157303,2.301067415730337,178
34.0,7.805600000000001,0.45480000000000004,25
35.0,6.732666666666666,0.7233333333333333,30
36.0,6.788181818181818,0.006363636363636364,11
37.0,7.4319999999999995,0.0,5
38.0,6.647352941176471,0.020588235294117647,34
39.0,5.519047619047619,0.6195238095238095,21
40.0,8.842857142857143,0.8571428571428571,7
41.0,9.091935483870968,2.692258064516129,31
42.0,9.665333333333335,0.598,15
43.0,11.62125,0.0,16
44.0,11.864,0.0,20
45.0,12.976666666666668,0.0,3
46.0,10.896,0.0,10
47.0,13.265,0.0,2
48.0,19.314999999999998,0.0,2
49.0,12.973636363636365,0.0,11
50.0,12.15,0.0,2
51.0,14.331428571428571,0.01,7
52.0,10.805,0.0,4
53.0,16.927692307692308,0.0,13
54.0,12.312000000000001,0.0,5
55.0,11.934999999999999,0.0,2
56.0,10.25939393939394,4.701515151515152,66
57.0,11.06,0.0,1
59.0,11.545,0.0,2
60.0,2.335,4.425,6
61.0,12.075,0.0,4
62.0,12.545,0.0,2
63.0,10.6,0.0,1
66.0,14.086666666666666,0.0,6
67.0,7.3340000000000005,0.0,5
68.0,7.213333333333334,0.0,12
69.0,10.320434782608697,0.39869565217391306,23
70.0,9.95,0.0,2
71.0,19.758333333333333,0.0,12
72.0,11.22,0.0,2
73.0,9.341666666666667,0.005833333333333334,12
74.0,22.8,0.0,1
75.0,12.008181818181818,0.0,11
76.0,13.567391304347826,5.771188405797101,345
77.0,6.962537313432836,1.2752238805970149,67
